code;name;dimension;disc price;price;
PND1705 ;MARIYAL YUVARLAK FORM AVİZE/CHANDELIER;"Q: 80
";17800;25000;15.000,00 TL;
PND1705 ;MARIYAL LİNER FORM AVİZE/CHANDELIER;"95 X 30 cm
";16000;22500;15.000,00 TL;
PND1364-W;ARCACHO APLİK/WALL;22X9 CM ;2200;3080;;
PND1364-W2;ARCACHO 3L APLİK/WALL;26X22X9 CM ;6600;9240;;
PND1364 ;ARCACHO AVİZE/CHANDELIER;80X21 CM ;37500;52500;;
PND1364 ;ARCACHO AVİZE/CHANDELIER;110;51500;72100;;
PND1364 ;ARCACHO AVİZE/CHANDELI+C124;120X30 CM ;42500;59500;;
PND1364-II;ARCACHO 2 KATLI  AVİZE/CHANDELIER;150X105 CM ;87500;122500;;
PND1281-I   ;CHAIN SARKIT 2 L /PENDANT;85X30 CM;37500;52500;;
PND1281-I   ;CHAIN SARKIT 3 L /PENDANT;125X30x5 CM;56500;79100;;
PND1252-W  ;LAVANTA APLİK/WALL;49 X 24 CM;3850;5500;1.500,00 TL;9 ADET DÖKÜM STOK 
PND1251-W;MERCAN APLİK/WALL;"

Boyutlar 
Toplam yükseklik 55 cm 
Gövde: 33 X 23 CM
Şapka: 25X18x14";3850;5500;1.500,00 TL;8 ADET DÖKÜM STOK 
PND1250-W;KÜP APLİK/WALL;"ÖLÇÜLER 
60 CM -17 CM ";3000;4200;1.500,00 TL;
PND-1249W3;YELPAZE  3 L APLİK/WALL;"ÖLÇÜLER 
83 X 34 CM ";4900;6860;1.250,00 TL;
PND-1398W;YELPAZE  2 L APLİK/WALL;"ÖLÇÜLER 
87 X 37 CM ";3800;5320;1.000,00 TL;
PND-1249W;YELPAZE  APLİK/WALL;"ÖLÇÜLER 
37 X 33 CM ";2000;2800;500,00 TL;
PND-1249W2;YELPAZE  2 L APLİK/WALL;"ÖLÇÜLER 
37 X 33 CM ";2500;3500;350,00 TL;
PND1249L;"YELPAZE  
LAMBADER  / FLOORLAMP";"ÖLÇÜLER 
175  CM ";10000;14000;900,00 TL;
PND1249L1;"YELPAZE  
LAMBADER  / FLOORLAMP";160 CM;12500;17500;;
PND1249-S;YELPAZE  SARKIT /PENDANT;60 Q;7500;10500;4.000,00 TL;
PND1664;YAPRAK  SERİP APLİK/WALL;"ÖLÇÜLER 
55 X 50  CM ";13000;18200;1.250,00 TL;
PND1664/W;YAPRAK  SERİP APLİK/WALL;"ÖLÇÜLER 
55 X 50  CM ";13500;18900;1.250,00 TL;
PND1664;YAPRAK SERİP AVİZE/CHANDELIER;95 Q;55000;77000;;
PND1665;LEAF APLİK/WALL;"ÖLÇÜLER 
65 X 45 CM ";9500;13300;1.500,00 TL;
PND1270-W;"AİDA 
APLİK/WALL";"ÖLÇÜLER 
55 X 35 CM ";4800;6720;;
PND1394-W  1 ;PYSO APLİK/WALL;17 Q ;3900;5460;;
PND1394-W  2;PYSO APLİK/WALL;;1475;2065;;
PND1394-W  3;PYSO APLİK/WALL;;1875;2625;;
PND1669;"FRANK
APLİK/ WALL ";"ÖLÇÜLER 
55 X 35 CM ";8500;11900;1.000,00 TL;
PND1286;PIPE BALL;"ÖLÇÜLER
29X5 CM ";875;1225;;
PND1245-I  ;FREYA SARKIT/PENDANT ;"ÖLÇÜLERC
40 CM ";7500;10000;9 ADET STOK;
PND1245-I  ;FREYA SARKIT/PENDANT ;"ÖLÇÜLER
60 CM ";8500;12000;9 ADET STOK TEŞHİR HARİÇ;
PND1245-I  ;FREYA SARKIT/PENDANT ;"ÖLÇÜLER
80 CM ";9500;13000;10 ADET STOK;
PND1245-I  ;FREYA SARKIT/PENDANT ;"ÖLÇÜLER
90 CM 
";11000;15000;10 ADET STOK;
PND1374;SHINE SARKIT/PENDANT ;"ÖLÇÜLER
25X30 CM 
";3500;4900;1.750,00 TL;
PND1381;SHINE SARKIT/PENDANT ;"ÖLÇÜLER
35X55 CM 
";6500;9100;2.750,00 TL;
PND1412;POLIRETEN SARKIT/PENDANT;"ÖLÇÜLER
55 CM 
";6500;9100;;
PND1412;POLIRETEN SARKIT/PENDANT;"ÖLÇÜLER
75 CM 
";9000;12600;;
PND1412;POLIRETEN SARKIT/PENDANT;"ÖLÇÜLER
120 CM 
";11000;15400;;
PND1671;POLIRETEN  APLİK/WALL;"ÖLÇÜLER
32X11 CM 
İÇ ÖLÇÜ
19 Q

";4500;6500;2.500,00 TL;
PND1672;HENA POLIRETEN  APLİK/WALL;"ÖLÇÜLER
70 Q 

";11000;15400;2.750,00 TL;
PND1672;HENA POLIRETEN  APLİK/WALL;"ÖLÇÜLER
60 Q";10000;14000;2.550,00 TL;
PND1672;HENA POLIRETEN  APLİK/WALL;"ÖLÇÜLER
50 Q";9500;13300;2.400,00 TL;
PND1672;HENA POLIRETEN  APLİK/WALL;"
ÖLÇÜLER 
40 Q";7000;9800;1.750,00 TL;
PND1673;HENA POLIRETEN  APLİK/WALL;"
ÖLÇÜLER 
34X24X20 CM";3750;5250;1.875,00 TL;
PND1231W; BUTTERFLY APLİK /WALL;"ÖLÇÜLER
22X22
";2000;2800;1.000,00 TL;
PND1231; BUTTERFLY SARKIT/PENDANT;"ÖLÇÜLER
17X24
";2200;3080;1.000,00 TL;
PND1231-5; BUTTERFLY 5 SARKIT/PENDANT;"ÖLÇÜLER
35X100
";11000;15400;5.000,00 TL;
PND1231L; BUTTERFLY SARKIT/PENDANT;"ÖLÇÜLER
150X25
";7500;10500;2.000,00 TL;
PND1231T;" BUTTERFLY 
ABAJUR/TABLE";"ÖLÇÜLER
18X41
";3900;5460;1.500,00 TL;
PND1210-T;"ECLİPSE ABAJUR/ TABLE LAMP
";"
40X25 CM
";4500;6300;975,00 TL;
PND1210-1;"ECLİPSE SARKIT/PENDANT
";"
18 Q 
";4500;6300;1.750,00 TL;
PND1210-2;"ECLİPSE SARKIT/PENDANT 
";"
25 Q ";5500;7700;2.000,00 TL;
PND1274W;ERASMUS APLİK /WALL;Cam ölçüleri 20x15x10 ;4800;6720;2.400,00 TL;
PND1274;ERASMUS SARKIT /PENDANT;Cam ölçüleri 20x15x10 ;4000;5600;2.000,00 TL;
PND1274;ERASMUS SARKIT /PENDANT;"Cam ölçüleri 20x15x10 
";4500;6300;2.250,00 TL;
PND1274;"ERASMUS
LAMBADER/FLOOR LAMP";"Cam ölçüleri 20x15x10 
";17500;24500;0,00 TL;
PND1269W-1;"GLOBO 
APLİK/WALL";55X30 CM ;6500;9100;8 ADET STOK;
PND1269W-2;"GLOBO 
APLİK/WALL";25X28X35 CM ;5000;7000;;
PND1269W-3;"GLOBO 
APLİK/WALL";"80X26 CM 
 ";11000;15400;;
PND1269-A/1;"GLOBO
 SARKIT/PENDANT";" 40 CM
 ";12000;16800;;
PND1269-A/2;"GLOBO
 SARKIT/PENDANT";" 60 CM
";14000;19600;;
PND1269-A/3;"GLOBO
 SARKIT/PENDANT";40X90 CM;12000;16800;;
PND1269-B;"GLOBO MASA ÜSTÜ
 SARKIT/PENDANT";"ÖLÇÜLER
100X40 CM ";16000;22400;;
PND1269-C;"GLOBO 
 SARKIT/PENDANT";Q:60;22500;31500;;
PND1269-T;GLOBO ABAJUR/TABLE LAMP;"ŞAPKA: 25 Q 
YÜKSEKLİK 50 CM ";8500;11900;;
PND1269-L;GLOBO ABAJUR/TABLE LAMP;"ŞAPKA: 46 Q 
YÜKSEKLİK160 CM ";17500;24500;;
PND1269;GLOBO DRESUAR;120X90X40 CM;30000;42000;;
PND1258;BOMMA TEKLİ SARKIT;"Cam ölçüsü 
32x22";3800;5320;;
PND1217;BUBBLE LİNER SARKIT/PENDANT;100X20 CM;14000;19600;;
PND1342-W;SEDEF APLİK/WALL;50X50 CM ;9500;13300;;
PND1342;SEDEF AVİZE /CHANDELIER;90 Q ;62500;87500;;
PND1371 ;BUTTERFLIES SARKIT/PENDANT;60X140 CM;22500;31500;;
PND1596;KRİPTO SARKIT/PENDANT;"ÖLÇÜLER
23 X 29";3500;4900;1.750,00 TL;
PND1686;ICEBERG STONE SARKIT/PENDANT;;3000;4200;1.000,00 TL;
PND1686;ICEBERG STONE SARKIT/PENDANT;;3000;4200;1.000,00 TL;
PND1219;CAMBER SARKIT/PENDANT;"ÖLÇÜLER
16 CM";1800;2520;;
PND1219;CAMBER SARKIT/PENDANT;"ÖLÇÜLER
16 CM";1800;2520;;
PND1219;CAMBER SARKIT/PENDANT;"ÖLÇÜLER
16 CM";1800;2520;;
PND1404;NOON SARKIT/PENDANT;20 Q;1250;1750;5 ADET STOK;
PND1404;NOON SARKIT/PENDANT;25Q;1500;2100;5 ADET STOK;
PND1404;NOON SARKIT/PENDANT;30 Q;1750;2450;5 ADET STOK;
PND1404;NOON SARKIT/PENDANT;35Q;2000;2800;5 ADET STOK;
PND1404W;NOON APLİK/WALL;40 Q;2500;3500;5 ADET STOK;
PND1404W;NOON APLİK/WALL;45 Q;3500;4900;5 ADET STOK;
PND1294A;"VİKTOR SARKIT/PENDANT 
";"
30 Q 
RENK: SOMON";5850;8190;2.000,00 TL;
PND1294B;"VİKTOR SARKIT/PENDANT 
";"
25 X 50 CM
RENK :YEŞİL";6350;8890;2.600,00 TL;
PND1294C;"VİKTOR SARKIT/PENDANT 
";"
30 X 46 CM
RENK :SİYAH";5850;8190;2.000,00 TL;
PND1272W;BLUM APLİK/WALL;30 X 40 CM;2250;3150;2.000,00 TL;
PND1272;BLUM APLİK/WALL;70 X 30 CM;4900;6860;;
PND1272-L;BLUM LAMBADER/FLOOR LAMP;30X164 CM;14500;20300;7.250,00 TL;
PND1410;HAT SARKIT/PENDANT;25X30CM;2250;3150;;
PND1399;KATTY COLOR NEW SARKIT /PENDANT;20 CM;3750;5250;1.500,00 TL;
PND1399;KATTY COLOR NEW SARKIT /PENDANT;15 CM;3750;5250;1.500,00 TL;
PND1399;KATTY COLOR NEW SARKIT /PENDANT;20 CM;3750;5250;1.500,00 TL;
